Station_Office_Code,Station_Code,Station_Name,Report_Header,ICAO_CODE,latitude,longitude,elevation_m,DealWithCarraigReturn
ABQ,CAO,Clayton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KCAO,36.45,-103.15,1514,Filler
ABQ,ROW,Roswell,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KROW,33.3,-104.5,1112,Filler
ABR,8D3,Sisseton Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,K8D3,45.67,-96.98,354,Filler
ABR,ABR,Aberdeen Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KABR,45.45,-98.42,397,Filler
ABR,ATY,Watertown Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KATY,44.9,-97.15,532,Filler
ABR,HON,Huron Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHON,44.38,-98.23,390,Filler
ABR,MBG,Mobridge Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMBG,45.55,-100.42,510,Filler
ABR,PIR,Pierre Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPIR,44.38,-100.28,526,Filler
AKQ,WAL,WALLOPS ISLAND,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KWAL,37.93,-75.47,14,Filler
AKQ,ECG,ELIZABETH CITY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KECG,36.27,-76.18,11,Filler
AKQ,ORF,NORFOLK,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KORF,36.9,-76.2,14,Filler
AKQ,RIC,RICHMOND,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KRIC,37.52,-77.32,50,Filler
AKQ,SBY,SALISBURY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSBY,38.33,-75.5,19,Filler
ALY,DDH,Bennington VT,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KDDH,42.9,-73.25,244,Filler
ALY,PSF,Pittsfield MA,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KPSF,42.43,-73.28,355,Filler
ALY,ALB,Albany NY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KALB,42.75,-73.8,92,Filler
ALY,GFL,Glens Falls NY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGFL,43.33,-73.62,103,Filler
ALY,POU,Poughkeepsie NY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPOU,41.63,-73.88,46,Filler
AMA,AMA,Amarillo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAMA,35.22,-101.72,1093,Filler
AMA,BGD,Borger,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBGD,35.7,-101.4,927,Filler
AMA,DHT,Dalhart,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDHT,36.02,-102.55,1217,Filler
AMA,GUY,Guymon,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGUY,36.68,-101.5,948,Filler
